name,category,city,country,lat,lng,website,specialty,price,price_low,price_high,accreditations,established,trust_score,tier,tier_label,coast,trust_signals,red_flags,defunct,evidence,accreditation,transparency,track_record,safety
ASMED (Dr. Koray Erdogan),Hair Transplant,Istanbul,Turkey,40.9923,29.1244,https://www.hairtransplantfue.org/,"Manual FUE, high-density artistic restoration","~$6,000-12,000+ (priced per graft)",6000,12000,MoH; IAHRS + AHLA + HairTransplantMentor recommended,since ~2005,91,A,Verified · Well-Established,Bosphorus - Galataport cruise berth,World-renowned surgeon; proprietary FUE innovations; heavy peer reputation,Not a budget option; long waitlists,False,27,22,14,14,14
Civas Hair Transplant (Dr. Ekrem Civas),Hair Transplant,Ankara,Turkey,39.9334,32.8597,https://civashairtransplant.com/,"FUE, DHI, Sapphire FUE","~$5,000-10,000",5000,10000,"FISHRS (1st in Turkey), ABHRS board-certified",since 2006,91,A,Verified · Well-Established,Landlocked (~200 km inland) - not sailing-accessible,Among Turkey's most credentialed surgeons; one procedure/day; dermatology background,Low daily volume means limited availability,False,27,23,14,13,14
DrT Hair Transplant (Dr. Oguzoglu),Hair Transplant,Istanbul,Turkey,41.13,29.1,https://drthair.com/,"FUE, DHI, beard/eyebrow","~$5,000-9,000",5000,9000,"FISHRS, ABHRS Diplomate; ISHRS award",since 1998,89,A,Verified · Well-Established,Bosphorus - Galataport,Named award-winning surgeon; exclusive focus on hair surgery,Premium tier; limited capacity,False,27,22,13,13,14
JK Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.4979,127.0276,https://www.jkplastic.com/en,"Facial contouring, two-jaw, rhino, eyes, breast","Double eyelid $2,500-4,500; rhino $5,000-9,000",2500,22000,MOHW foreign-patient institution; KAHF accredited,since 1998,88,A,Verified · Well-Established,Incheon port ~40 km,"Board-certified surgeons 20+ yrs; on-site anesthesiologists; ~4,000 foreign patients/yr",Premium pricing; high-volume international operation - confirm named surgeon,False,26,22,13,14,13
Cancun Cosmetic Dentistry,Dentistry,Cancun,Mexico,21.106,-86.77,https://www.cancuncosmeticdentistry.com/,"All-on-4, implants, smile makeovers","All-on-4 from $10,800; implant $880-1,200; crown $990",880,12500,Dr. Arzate - ABOI Diplomate (verifiable); AAID/ADA,25+ yrs,87,A,Verified · Well-Established,Caribbean - Cancun marinas,"Verifiable board credential; trained by All-on-4 inventor P. Malo; 8,000+ cases; IV sedation",Promo vs regular pricing gap on snap-in dentures,False,28,21,13,13,12
HLC - Hairline Clinic (Dr. Oztan),Hair Transplant,Ankara,Turkey,39.9231,32.8692,https://www.fue-hlc.com/,"FUE, refined FUT, physician-led team","~$5,000-10,000",5000,10000,MoH; recognized early FUE pioneer,since 2002,87,A,Verified · Well-Established,Landlocked - not sailing-accessible,One of the oldest serious FUE clinics; strong peer reputation,Ankara location inconvenient for coastal travelers,False,27,20,13,13,14
Banobagi Plastic Surgery,Cosmetic Surgery,Seoul,South Korea,37.4876,127.0371,https://eng.banobagi.com,"Facial contouring, rhino, eyes, breast, lifts","Double eyelid $2,000-4,000; rhino $4,500-8,000",2000,18000,MOHW foreign-patient institution; SNU-grad directors,since 2000,86,A,Verified · Well-Established,Incheon port ~40 km,Explicit anti-ghost-surgery 'Real-Name System'; resident anesthesiologist; 8-language,Book directly to avoid broker commission markups,False,26,20,14,13,13
Trust Dental Care,Dentistry,Tijuana,Mexico,32.5283,-117.0187,https://trustdentalcare.com/,"Implants, All-on-4/6, veneers, full-mouth","Implant ~$799; All-on-4 $3,196-8,500; crown $450",799,8500,"US-licensed dentist (CA #33592067), AACD, ICOI, AAID",15+ yrs,85,A,Verified · Well-Established,Pacific - 20 mi from San Diego harbor,Only US-licensed dentist in group; 5-yr warranty; free border limo; 4.7 stars/300+ reviews,Some headline prices are implants-only - confirm inclusions,False,28,20,13,12,12
Cosmetic & Implant Dentistry Center (Dr. Valenzuela),Dentistry,Los Algodones,Mexico,32.7186,-114.73,https://www.algodonesdentalimplants.com/,"Implants, All-on-4/6, full-mouth, same-day","Implant from $1,400; crown $450-800; veneer $450-800",1400,8000,"American-trained, ADA-affiliated; 50-yr family legacy",since 2002,83,A,Verified · Well-Established,Inland (near Yuma) - not sailing-accessible,One accountable American-trained dentist; 20-yr implant warranty; CEREC same-day,Higher single-implant price; small family-practice capacity,False,28,19,12,12,12
Dental Destinations Cancun (Dentaris / Dr. Berron),Dentistry,Cancun,Mexico,21.0957,-86.7605,https://www.dentaldestinationscancun.com/,"Implants, All-on-4/6, oral rehab, makeovers","Full case ~$22,000 vs ~$75,000 US (~55% less)",900,22000,Dr. Berron - former LSU implant-fellowship professor; GCR Top Clinic MX,30+ yrs,83,A,Verified · Well-Established,Caribbean - Cancun marinas,Highest academic pedigree (LSU faculty); ~75% repeat/referral; master-ceramist lab,Front brand is a facilitator over the clinic - clarify who treats & bills you,False,28,19,11,13,12
